"Status","Image","Ability","Name","Source","Archetype/s","Type","Cost","Description","Upgraded Description","Notes"
"Done","","SC_RAVAGE
SC_Ravage","Ravage","Innate","Core","Attack","10% Max HP
& 1 Act Point","Take damage equal to 10% of your Max HP rounded up to perform a melee attack.","TBD",""
"Done","","SC_FEAST
SC_Feast","Feast","Innate","Core","Attack","0 Mana","Destroy an adjacent body to heal 8 HP and gain +2 Loose Chunks, +3 [img:str], +2 [img:con], and +2 mana.","TBD","Loose Chunk: Gain -1 [img:str], -1 [img:con], and spawn poisoned food the next {stacks} times you take damage."
"Done","","SC_ZOMBIEFEAST
SC_ZombieFeast","Zombie Feast","Innate (Familiar)","Core","Attack","0 Mana","Destroy an adjacent body to heal 8 HP and gain +3 [img:str] and +2 [img:con].","N/A",""
"Done","","SC_INTERMITTENTFASTING
SC_IntermittentFasting","Intermittent Fasting","Suppress Hunger","Insatiable","Misc","0 Mana","Gain either +3 [img:str] and +2 mana or +2 [img:con] and 8 HP.
[s:.7](Castable once per turn.)[/s]","TBD",""
"Done","","SC_THRILLINGDANCE
SC_ThrillingDance","Thrilling Dance","Thriller","Apocalyptic","Move","1 Move Point","Dash forward and attack, dealing damage equal to a third of your [img:str], rounded up. Your undead familiars copy your dance up to 3 tiles.","TBD",""
"Done","","SC_FAMILIARDANCE
SC_FamiliarDance","Familiar Dance","Thrilling Dance","Apocalyptic","Move","0 Move Point","Dash forward up to 3 tiles.","N/A",""
"Done","","SC_CRAWL
SC_Crawl","Crawl","Deteriorate","Undying","Move","1 Move Point","{he} crawl. You can move an extra time each turn.","N/A",""
"Done","","SC_REEK
SC_Reek","Reek","Deteriorate","Undying","Misc","0 Mana","Take 4 damage to gain Poisonous 1.","TBD",""
"Done","","SC_POISONSPIT
SC_PoisonSpit","Poison Spit","Zombie Spitter","Familiar","Attack","1 Act Point","Spit poison at a target.","TBD",""
"Done","","SC_LEAP
SC_Leap","Leap","Zombie Leaper","Familiar","Move","1 Move Point","Jump to a tile within range 3. Damage both yourself and units you land on equal to 10% of your current HP. ","TBD",""
"To Do","","SC_DOUSPART
SC_DoUsPart","Do Us Part","Till Death","","","","","","I just like the name, I haven't thought of anything yet except it connects to 'Till Death."
