,Archetype,Archetype Abilities,Archetype Passives,Additional Passives,Additional Abilities,,Status,Archetype Abilities,Additional Abilities,Archetype Passives,Additional Passives,,
,Total,31,20,11,2,,Done,2,10,0,2 2,,
,Apocalyptic,31,20,11,2,,Half Done,10,0,8,0,,
,#REF!,#REF!,1,1,0,,Doing,2,0,1,0,,
,Core,3,3,0,3,,Testing,5,0,7,0,,
,Familiar,0,0,0,2,,To Do,12,1,3,0,,
,Insatiable,15,3,2,1,,,0,0,0,0,,
,Undying,4,4,0,2,,,,,,,,
,,,,,,,Type,,,,,,
,,,,,,,Attack,9,4,,Prefix,SC_,
,,,,,,,Defense,3,0,,Suffix,,
,,,,,,,Move,2,4,,Recommended,,
,,,,,,,Misc,16,2,,Abilities,50,
,,,,,,,Unique Sources,0,0,,Passives,25,
,,,,,,,,,,,,,
